titulo,etiqueta,texto,tema,url,fecha_publicacion,medio,fecha_extraccion
El CEU de Valencia utilizó cadáveres donados de forma irregular,VERDADERO,"Al menos cinco cuerpos usados para prácticas de Medicina contaban solo con la firma de una enfermera o un amigo, en contra de las normas autonómica y universitaria",inmigracion,https://elpais.com/sociedad/2026-05-02/el-ceu-de-valencia-utilizo-cadaveres-donados-de-forma-irregular.html,2026-05-02,elpais,2026-05-04
La regularización de inmigrantes divide a los españoles: 38% a favor y 33% en contra,VERDADERO,Más de la mitad cree que afectará negativamente al acceso a la vivienda y el sistema sanitario. La prioridad nacional es el criterio más popular para la concesión de ayudas públicas,inmigracion,https://elpais.com/espana/2026-05-04/la-regularizacion-de-inmigrantes-divide-a-los-espanoles-38-a-favor-y-33-en-contra.html,2026-05-04,elpais,2026-05-04
Una serie única y extraña para un tiempo feroz,VERDADERO,"El problema no son los extranjeros, sino los servicios públicos. Exijamos acción a sus responsables y tengamos empatía",inmigracion,https://elpais.com/opinion/2026-05-02/una-serie-unica-y-extrana-para-un-tiempo-feroz.html,2026-05-02,elpais,2026-05-04
Azcón estrena Gobierno en Aragón de PP y Vox y pide a sus consejeros ser “discretos y prudentes”,VERDADERO,"El líder de la extrema derecha en la comunidad, Alejandro Nolasco, será vicepresidente y tendrá las competencias sobre los menores migrantes",inmigracion,https://elpais.com/espana/elecciones-aragon/2026-05-04/azcon-estrena-gobierno-en-aragon-de-pp-y-vox-y-pide-a-sus-consejeros-ser-discretos-y-prudentes-y-rechazar-el-ruido.html,2026-05-04,elpais,2026-05-04
El mundo se asoma al precipicio tras dos meses de cierre de Ormuz,VERDADERO,"Sin avances en las negociaciones entre EE UU e Irán, la crisis energética amenaza con descarrilar la economía si el estrecho no reabre en las próximas semanas",inmigracion,https://elpais.com/internacional/2026-05-03/el-mundo-se-asoma-al-precipicio-tras-dos-meses-de-cierre-de-ormuz.html,2026-05-03,elpais,2026-05-04
¿Prioridad nacional en la vivienda de protección? Solo el 14% de adjudicaciones en Catalunya son a extranjeros,VERDADERO,"El coche eléctrico, una primera vez que no se olvida",inmigracion,https://www.eldiario.es/catalunya/prioridad-nacional-vivienda-proteccion-14-adjudicaciones-catalunya-son-extranjeros_1_13185363.html,2026-05-04,eldiario,2026-05-04
